"","fecha_dia","empresa","producto","menciones_positivas","menciones_negativas","menciones_neutras"
"86",2025-01-03,"Apple","App Store",378,185,427
"87",2025-01-03,"Apple","Apple Watch",365,201,374
"88",2025-01-03,"Apple","MacBook",420,195,371
"89",2025-01-03,"Apple","iPad",380,191,369
"90",2025-01-03,"Apple","iPhone",369,194,359
"91",2025-01-03,"Binance","Futures",380,182,384
"92",2025-01-03,"Binance","Margin Trading",382,206,364
"93",2025-01-03,"Binance","P2P",379,192,370
"94",2025-01-03,"Binance","Spot Exchange",383,195,375
"95",2025-01-03,"Binance","Staking",368,201,391
"96",2025-01-03,"Binance","Wallet",402,161,403
"97",2025-01-03,"Coinbase","Earn",387,193,392
"98",2025-01-03,"Coinbase","NFT Marketplace",424,204,374
"99",2025-01-03,"Coinbase","Pro",372,174,346
"100",2025-01-03,"Coinbase","Spot Trading",371,206,363
"101",2025-01-03,"Coinbase","Staking",428,182,370
"102",2025-01-03,"Coinbase","Wallet",416,190,357
"103",2025-01-03,"Meta","Facebook",371,192,396
"104",2025-01-03,"Meta","Horizon Worlds",406,183,361
"105",2025-01-03,"Meta","Instagram",337,178,397
"106",2025-01-03,"Meta","Oculus Rift",364,208,371
"107",2025-01-03,"Meta","Portal",374,186,381
"108",2025-01-03,"Meta","WhatsApp",397,181,426
"109",2025-01-03,"Nike","Air Max",381,192,393
"110",2025-01-03,"Nike","Dri-FIT Apparel",361,201,379
"111",2025-01-03,"Nike","Football Boots",374,194,343
"112",2025-01-03,"Nike","Jordan",382,181,370
"113",2025-01-03,"Nike","Nike+ App",338,188,389
"114",2025-01-03,"Nike","Running Shoes",406,193,404
"115",2025-01-03,"Nvidia","AI Chips",389,182,390
"116",2025-01-03,"Nvidia","Cloud Gaming",402,199,376
"117",2025-01-03,"Nvidia","DLSS Tech",380,195,386
"118",2025-01-03,"Nvidia","GPU Drivers",365,182,393
"119",2025-01-03,"Nvidia","RTX GPUs",385,194,394
"120",2025-01-03,"Nvidia","RTX Laptops",381,195,387
"121",2025-01-03,"Tesla","Model 3",380,182,402
"122",2025-01-03,"Tesla","Model S",387,213,377
"123",2025-01-03,"Tesla","Model X",407,191,375
"124",2025-01-03,"Tesla","Model Y",368,208,368
"125",2025-01-03,"Tesla","Powerwall",391,197,396
"126",2025-01-03,"Tesla","Solar Roof",378,207,341
"127",2025-01-04,"Apple","AirPods",400,178,374
"128",2025-01-04,"Apple","App Store",360,199,408
"129",2025-01-04,"Apple","Apple Watch",425,186,377
"130",2025-01-04,"Apple","MacBook",417,186,422
"131",2025-01-04,"Apple","iPad",379,208,377
"132",2025-01-04,"Apple","iPhone",408,199,362
"133",2025-01-04,"Binance","Futures",375,190,404
"134",2025-01-04,"Binance","Margin Trading",398,186,357
"135",2025-01-04,"Binance","P2P",353,178,368
"136",2025-01-04,"Binance","Spot Exchange",393,198,367
"137",2025-01-04,"Binance","Staking",406,204,406
"138",2025-01-04,"Binance","Wallet",384,189,410
"139",2025-01-04,"Coinbase","Earn",361,212,396
"140",2025-01-04,"Coinbase","NFT Marketplace",374,190,384
"141",2025-01-04,"Coinbase","Pro",364,186,406
"142",2025-01-04,"Coinbase","Spot Trading",388,208,336
"143",2025-01-04,"Coinbase","Staking",390,185,361
"144",2025-01-04,"Coinbase","Wallet",387,214,389
"145",2025-01-04,"Meta","Facebook",385,175,400
"146",2025-01-04,"Meta","Horizon Worlds",380,196,402
"147",2025-01-04,"Meta","Instagram",399,206,382
"148",2025-01-04,"Meta","Oculus Rift",371,185,372
"149",2025-01-04,"Meta","Portal",355,205,378
"150",2025-01-04,"Meta","WhatsApp",392,206,375
"151",2025-01-04,"Nike","Air Max",373,212,396
"152",2025-01-04,"Nike","Dri-FIT Apparel",407,206,371
"153",2025-01-04,"Nike","Football Boots",414,185,339
"154",2025-01-04,"Nike","Jordan",354,175,364
"155",2025-01-04,"Nike","Nike+ App",388,169,359
"156",2025-01-04,"Nike","Running Shoes",403,206,342
"157",2025-01-04,"Nvidia","AI Chips",375,197,376
"158",2025-01-04,"Nvidia","Cloud Gaming",378,187,381
"159",2025-01-04,"Nvidia","DLSS Tech",365,201,370
"160",2025-01-04,"Nvidia","GPU Drivers",351,205,353
"161",2025-01-04,"Nvidia","RTX GPUs",373,205,392
"162",2025-01-04,"Nvidia","RTX Laptops",381,169,377
"163",2025-01-04,"Tesla","Model 3",404,204,387
"164",2025-01-04,"Tesla","Model S",385,194,368
"165",2025-01-04,"Tesla","Model X",397,172,377
"166",2025-01-04,"Tesla","Model Y",410,209,390
"167",2025-01-04,"Tesla","Powerwall",382,195,415
"168",2025-01-04,"Tesla","Solar Roof",384,181,400
"169",2025-01-05,"Apple","AirPods",395,168,380
"170",2025-01-05,"Apple","App Store",395,199,379
"171",2025-01-05,"Apple","Apple Watch",426,201,350
"172",2025-01-05,"Apple","MacBook",387,196,322
"173",2025-01-05,"Apple","iPad",402,191,409
"174",2025-01-05,"Apple","iPhone",333,195,394
"175",2025-01-05,"Binance","Futures",450,232,377
"176",2025-01-05,"Binance","Margin Trading",366,195,368
"177",2025-01-05,"Binance","P2P",369,207,354
"178",2025-01-05,"Binance","Spot Exchange",371,210,395
"179",2025-01-05,"Binance","Staking",398,172,381
"180",2025-01-05,"Binance","Wallet",379,206,395
"181",2025-01-05,"Coinbase","Earn",374,203,360
"182",2025-01-05,"Coinbase","NFT Marketplace",373,153,382
"183",2025-01-05,"Coinbase","Pro",355,183,388
"184",2025-01-05,"Coinbase","Spot Trading",407,179,371
"185",2025-01-05,"Coinbase","Staking",388,193,384
"186",2025-01-05,"Coinbase","Wallet",375,179,399
"187",2025-01-05,"Meta","Facebook",384,203,402
"188",2025-01-05,"Meta","Horizon Worlds",404,189,397
"189",2025-01-05,"Meta","Instagram",375,211,364
"190",2025-01-05,"Meta","Oculus Rift",399,198,386
"191",2025-01-05,"Meta","Portal",365,198,417
"192",2025-01-05,"Meta","WhatsApp",378,187,390
"193",2025-01-05,"Nike","Air Max",366,202,413
"194",2025-01-05,"Nike","Dri-FIT Apparel",390,200,383
"195",2025-01-05,"Nike","Football Boots",382,187,372
"196",2025-01-05,"Nike","Jordan",392,173,366
"197",2025-01-05,"Nike","Nike+ App",360,203,359
"198",2025-01-05,"Nike","Running Shoes",351,187,387
"199",2025-01-05,"Nvidia","AI Chips",357,195,404
"200",2025-01-05,"Nvidia","Cloud Gaming",385,219,397
"201",2025-01-05,"Nvidia","DLSS Tech",409,178,397
"202",2025-01-05,"Nvidia","GPU Drivers",374,185,377
"203",2025-01-05,"Nvidia","RTX GPUs",352,188,381
"204",2025-01-05,"Nvidia","RTX Laptops",407,208,382
"205",2025-01-05,"Tesla","Model 3",370,197,403
"206",2025-01-05,"Tesla","Model S",381,191,445
"207",2025-01-05,"Tesla","Model X",427,201,377
"208",2025-01-05,"Tesla","Model Y",380,203,407
"209",2025-01-05,"Tesla","Powerwall",382,187,396
"210",2025-01-05,"Tesla","Solar Roof",391,207,397
"211",2025-01-06,"Apple","AirPods",349,183,383
"212",2025-01-06,"Apple","App Store",384,215,427
"213",2025-01-06,"Apple","Apple Watch",387,190,362
"214",2025-01-06,"Apple","MacBook",399,167,379
"215",2025-01-06,"Apple","iPad",362,186,389
"216",2025-01-06,"Apple","iPhone",406,181,367
"217",2025-01-06,"Binance","Futures",359,211,393
"218",2025-01-06,"Binance","Margin Trading",407,176,384
"219",2025-01-06,"Binance","P2P",372,211,400
"220",2025-01-06,"Binance","Spot Exchange",357,186,388
"221",2025-01-06,"Binance","Staking",401,186,369
"222",2025-01-06,"Binance","Wallet",390,179,411
"223",2025-01-06,"Coinbase","Earn",417,205,407
"224",2025-01-06,"Coinbase","NFT Marketplace",398,187,387
"225",2025-01-06,"Coinbase","Pro",370,193,361
"226",2025-01-06,"Coinbase","Spot Trading",361,213,409
"227",2025-01-06,"Coinbase","Staking",347,181,371
"228",2025-01-06,"Coinbase","Wallet",389,199,356
"229",2025-01-06,"Meta","Facebook",379,184,401
"230",2025-01-06,"Meta","Horizon Worlds",410,190,349
"231",2025-01-06,"Meta","Instagram",387,207,364
"232",2025-01-06,"Meta","Oculus Rift",385,202,392
"233",2025-01-06,"Meta","Portal",396,196,375
"234",2025-01-06,"Meta","WhatsApp",351,222,423
"235",2025-01-06,"Nike","Air Max",387,204,376
"236",2025-01-06,"Nike","Dri-FIT Apparel",381,183,394
"237",2025-01-06,"Nike","Football Boots",431,178,384
"238",2025-01-06,"Nike","Jordan",409,181,341
"239",2025-01-06,"Nike","Nike+ App",389,205,376
"240",2025-01-06,"Nike","Running Shoes",411,181,407
"241",2025-01-06,"Nvidia","AI Chips",354,191,369
"242",2025-01-06,"Nvidia","Cloud Gaming",430,192,393
"243",2025-01-06,"Nvidia","DLSS Tech",382,205,380
"244",2025-01-06,"Nvidia","GPU Drivers",368,177,375
"245",2025-01-06,"Nvidia","RTX GPUs",404,202,400
"246",2025-01-06,"Nvidia","RTX Laptops",398,208,352
"247",2025-01-06,"Tesla","Model 3",396,168,362
"248",2025-01-06,"Tesla","Model S",409,194,389
"249",2025-01-06,"Tesla","Model X",404,195,405
"250",2025-01-06,"Tesla","Model Y",365,184,418
"251",2025-01-06,"Tesla","Powerwall",436,188,383
"252",2025-01-06,"Tesla","Solar Roof",346,190,388
"253",2025-01-07,"Apple","AirPods",370,193,376
"254",2025-01-07,"Apple","App Store",363,207,375
"255",2025-01-07,"Apple","Apple Watch",396,214,423
"256",2025-01-07,"Apple","MacBook",384,186,378
"257",2025-01-07,"Apple","iPad",368,181,394
"258",2025-01-07,"Apple","iPhone",400,198,386
"259",2025-01-07,"Binance","Futures",405,201,392
"260",2025-01-07,"Binance","Margin Trading",394,177,385
"261",2025-01-07,"Binance","P2P",388,177,407
"262",2025-01-07,"Binance","Spot Exchange",382,177,352
"263",2025-01-07,"Binance","Staking",365,197,382
"264",2025-01-07,"Binance","Wallet",407,194,380
"265",2025-01-07,"Coinbase","Earn",387,186,368
"266",2025-01-07,"Coinbase","NFT Marketplace",399,203,375
"267",2025-01-07,"Coinbase","Pro",383,187,409
"268",2025-01-07,"Coinbase","Spot Trading",398,202,417
"269",2025-01-07,"Coinbase","Staking",381,187,393
"270",2025-01-07,"Coinbase","Wallet",393,181,374
"271",2025-01-07,"Meta","Facebook",381,202,392
"272",2025-01-07,"Meta","Horizon Worlds",397,201,410
"273",2025-01-07,"Meta","Instagram",394,197,393
"274",2025-01-07,"Meta","Oculus Rift",388,184,386
"275",2025-01-07,"Meta","Portal",421,203,410
"276",2025-01-07,"Meta","WhatsApp",370,212,398
"277",2025-01-07,"Nike","Air Max",349,210,366
"278",2025-01-07,"Nike","Dri-FIT Apparel",395,202,357
"279",2025-01-07,"Nike","Football Boots",365,191,360
"280",2025-01-07,"Nike","Jordan",399,177,382
"281",2025-01-07,"Nike","Nike+ App",397,190,385
"282",2025-01-07,"Nike","Running Shoes",399,205,375
"283",2025-01-07,"Nvidia","AI Chips",357,192,410
"284",2025-01-07,"Nvidia","Cloud Gaming",370,187,366
"285",2025-01-07,"Nvidia","DLSS Tech",389,191,374
"286",2025-01-07,"Nvidia","GPU Drivers",362,209,363
"287",2025-01-07,"Nvidia","RTX GPUs",380,192,398
"288",2025-01-07,"Nvidia","RTX Laptops",378,195,423
"289",2025-01-07,"Tesla","Model 3",394,166,356
"290",2025-01-07,"Tesla","Model S",378,187,416
"291",2025-01-07,"Tesla","Model X",372,202,410
"292",2025-01-07,"Tesla","Model Y",372,177,361
"293",2025-01-07,"Tesla","Powerwall",416,181,382
"294",2025-01-07,"Tesla","Solar Roof",386,206,360
"295",2025-01-08,"Apple","AirPods",370,182,380
"296",2025-01-08,"Apple","App Store",371,192,390
"297",2025-01-08,"Apple","Apple Watch",358,193,368
"298",2025-01-08,"Apple","MacBook",415,205,393
"299",2025-01-08,"Apple","iPad",408,212,380
"300",2025-01-08,"Apple","iPhone",375,207,398
"301",2025-01-08,"Binance","Futures",357,178,381
"302",2025-01-08,"Binance","Margin Trading",421,184,374
"303",2025-01-08,"Binance","P2P",388,194,364
"304",2025-01-08,"Binance","Spot Exchange",396,189,446
"305",2025-01-08,"Binance","Staking",382,196,394
"306",2025-01-08,"Binance","Wallet",392,211,368
"307",2025-01-08,"Coinbase","Earn",398,201,400
"308",2025-01-08,"Coinbase","NFT Marketplace",376,196,364
"309",2025-01-08,"Coinbase","Pro",396,195,391
"310",2025-01-08,"Coinbase","Spot Trading",388,192,388
"311",2025-01-08,"Coinbase","Staking",409,190,366
"312",2025-01-08,"Coinbase","Wallet",365,183,392
"313",2025-01-08,"Meta","Facebook",369,196,384
"314",2025-01-08,"Meta","Horizon Worlds",382,194,393
"315",2025-01-08,"Meta","Instagram",390,173,374
"316",2025-01-08,"Meta","Oculus Rift",386,225,378
"317",2025-01-08,"Meta","Portal",372,195,395
"318",2025-01-08,"Meta","WhatsApp",408,185,378
"319",2025-01-08,"Nike","Air Max",372,219,384
"320",2025-01-08,"Nike","Dri-FIT Apparel",372,174,396
"321",2025-01-08,"Nike","Football Boots",450,227,367
"322",2025-01-08,"Nike","Jordan",401,189,355
"323",2025-01-08,"Nike","Nike+ App",354,181,367
"324",2025-01-08,"Nike","Running Shoes",382,179,399
"325",2025-01-08,"Nvidia","AI Chips",395,200,366
"326",2025-01-08,"Nvidia","Cloud Gaming",401,192,400
"327",2025-01-08,"Nvidia","DLSS Tech",425,194,367
"328",2025-01-08,"Nvidia","GPU Drivers",384,206,372
"329",2025-01-08,"Nvidia","RTX GPUs",413,195,394
"330",2025-01-08,"Nvidia","RTX Laptops",393,184,399
"331",2025-01-08,"Tesla","Model 3",374,190,386
"332",2025-01-08,"Tesla","Model S",373,182,383
"333",2025-01-08,"Tesla","Model X",383,168,373
"334",2025-01-08,"Tesla","Model Y",406,196,371
"335",2025-01-08,"Tesla","Powerwall",403,185,396
"336",2025-01-08,"Tesla","Solar Roof",357,176,384
"337",2025-01-09,"Apple","AirPods",371,184,393
"338",2025-01-09,"Apple","App Store",381,176,395
"339",2025-01-09,"Apple","Apple Watch",399,184,382
"340",2025-01-09,"Apple","MacBook",367,177,428
"341",2025-01-09,"Apple","iPad",385,183,367
"342",2025-01-09,"Apple","iPhone",369,204,404
"343",2025-01-09,"Binance","Futures",435,193,353
"344",2025-01-09,"Binance","Margin Trading",346,194,394
"345",2025-01-09,"Binance","P2P",383,172,343
"346",2025-01-09,"Binance","Spot Exchange",418,163,380
"347",2025-01-09,"Binance","Staking",404,170,379
"348",2025-01-09,"Binance","Wallet",410,203,364
"349",2025-01-09,"Coinbase","Earn",359,187,384
"350",2025-01-09,"Coinbase","NFT Marketplace",386,197,426
"351",2025-01-09,"Coinbase","Pro",364,203,413
"352",2025-01-09,"Coinbase","Spot Trading",357,178,378
"353",2025-01-09,"Coinbase","Staking",354,172,385
"354",2025-01-09,"Coinbase","Wallet",366,213,389
"355",2025-01-09,"Meta","Facebook",419,197,360
"356",2025-01-09,"Meta","Horizon Worlds",401,197,379
"357",2025-01-09,"Meta","Instagram",390,186,411
"358",2025-01-09,"Meta","Oculus Rift",355,207,387
"359",2025-01-09,"Meta","Portal",377,203,399
"360",2025-01-09,"Meta","WhatsApp",378,199,364
"361",2025-01-09,"Nike","Air Max",380,192,367
"362",2025-01-09,"Nike","Dri-FIT Apparel",373,194,409
"363",2025-01-09,"Nike","Football Boots",366,189,383
"364",2025-01-09,"Nike","Jordan",382,191,357
"365",2025-01-09,"Nike","Nike+ App",371,214,406
"366",2025-01-09,"Nike","Running Shoes",361,188,361
"367",2025-01-09,"Nvidia","AI Chips",355,153,383
"368",2025-01-09,"Nvidia","Cloud Gaming",373,160,378
"369",2025-01-09,"Nvidia","DLSS Tech",384,159,398
"370",2025-01-09,"Nvidia","GPU Drivers",368,192,394
"371",2025-01-09,"Nvidia","RTX GPUs",392,185,411
"372",2025-01-09,"Nvidia","RTX Laptops",368,205,399
"373",2025-01-09,"Tesla","Model 3",369,213,377
"374",2025-01-09,"Tesla","Model S",384,172,380
"375",2025-01-09,"Tesla","Model X",377,190,363
"376",2025-01-09,"Tesla","Model Y",415,190,367
"377",2025-01-09,"Tesla","Powerwall",403,180,401
"378",2025-01-09,"Tesla","Solar Roof",413,185,372
"379",2025-01-10,"Apple","AirPods",394,193,373
"380",2025-01-10,"Apple","App Store",401,193,395
"381",2025-01-10,"Apple","Apple Watch",396,233,381
"382",2025-01-10,"Apple","MacBook",382,186,363
"383",2025-01-10,"Apple","iPad",378,203,397
"384",2025-01-10,"Apple","iPhone",396,209,341
"385",2025-01-10,"Binance","Futures",355,172,378
"386",2025-01-10,"Binance","Margin Trading",378,206,401
"387",2025-01-10,"Binance","P2P",413,189,373
"388",2025-01-10,"Binance","Spot Exchange",379,191,379
"389",2025-01-10,"Binance","Staking",383,205,373
"390",2025-01-10,"Binance","Wallet",414,174,373
"391",2025-01-10,"Coinbase","Earn",351,183,392
"392",2025-01-10,"Coinbase","NFT Marketplace",381,185,409
"393",2025-01-10,"Coinbase","Pro",389,179,354
"394",2025-01-10,"Coinbase","Spot Trading",396,197,374
"395",2025-01-10,"Coinbase","Staking",408,176,370
"396",2025-01-10,"Coinbase","Wallet",392,172,403
"397",2025-01-10,"Meta","Facebook",373,185,370
"398",2025-01-10,"Meta","Horizon Worlds",395,191,390
"399",2025-01-10,"Meta","Instagram",382,189,430
"400",2025-01-10,"Meta","Oculus Rift",398,193,397
"401",2025-01-10,"Meta","Portal",380,176,368
"402",2025-01-10,"Meta","WhatsApp",395,203,393
"403",2025-01-10,"Nike","Air Max",381,185,397
"404",2025-01-10,"Nike","Dri-FIT Apparel",357,189,378
"405",2025-01-10,"Nike","Football Boots",384,195,363
"406",2025-01-10,"Nike","Jordan",343,166,369
"407",2025-01-10,"Nike","Nike+ App",348,199,343
"408",2025-01-10,"Nike","Running Shoes",361,172,351
"409",2025-01-10,"Nvidia","AI Chips",363,187,361
"410",2025-01-10,"Nvidia","Cloud Gaming",392,204,393
"411",2025-01-10,"Nvidia","DLSS Tech",382,177,352
"412",2025-01-10,"Nvidia","GPU Drivers",400,185,374
"413",2025-01-10,"Nvidia","RTX GPUs",381,212,399
"414",2025-01-10,"Nvidia","RTX Laptops",375,193,368
"415",2025-01-10,"Tesla","Model 3",380,164,380
"416",2025-01-10,"Tesla","Model S",402,181,362
"417",2025-01-10,"Tesla","Model X",448,167,397
"418",2025-01-10,"Tesla","Model Y",407,209,380
"419",2025-01-10,"Tesla","Powerwall",375,198,413
"420",2025-01-10,"Tesla","Solar Roof",429,191,425
"421",2025-01-11,"Apple","AirPods",404,186,405
"422",2025-01-11,"Apple","App Store",372,171,391
"423",2025-01-11,"Apple","Apple Watch",396,219,361
"424",2025-01-11,"Apple","MacBook",345,198,363
"425",2025-01-11,"Apple","iPad",396,176,386
"426",2025-01-11,"Apple","iPhone",395,152,367
"427",2025-01-11,"Binance","Futures",363,179,366
"428",2025-01-11,"Binance","Margin Trading",373,203,397
"429",2025-01-11,"Binance","P2P",389,189,358
"430",2025-01-11,"Binance","Spot Exchange",369,198,412
"431",2025-01-11,"Binance","Staking",375,190,389
"432",2025-01-11,"Binance","Wallet",381,197,353
"433",2025-01-11,"Coinbase","Earn",410,184,368
"434",2025-01-11,"Coinbase","NFT Marketplace",387,171,364
"435",2025-01-11,"Coinbase","Pro",381,168,353
"436",2025-01-11,"Coinbase","Spot Trading",387,209,393
"437",2025-01-11,"Coinbase","Staking",400,178,356
"438",2025-01-11,"Coinbase","Wallet",360,176,381
"439",2025-01-11,"Meta","Facebook",391,187,331
"440",2025-01-11,"Meta","Horizon Worlds",409,184,386
"441",2025-01-11,"Meta","Instagram",362,207,398
"442",2025-01-11,"Meta","Oculus Rift",394,190,392
"443",2025-01-11,"Meta","Portal",367,197,397
"444",2025-01-11,"Meta","WhatsApp",411,188,377
"445",2025-01-11,"Nike","Air Max",376,214,407
"446",2025-01-11,"Nike","Dri-FIT Apparel",411,199,385
"447",2025-01-11,"Nike","Football Boots",372,182,373
"448",2025-01-11,"Nike","Jordan",420,167,381
"449",2025-01-11,"Nike","Nike+ App",418,197,415
"450",2025-01-11,"Nike","Running Shoes",388,171,384
"451",2025-01-11,"Nvidia","AI Chips",379,176,385
"452",2025-01-11,"Nvidia","Cloud Gaming",378,189,360
"453",2025-01-11,"Nvidia","DLSS Tech",386,201,429
"454",2025-01-11,"Nvidia","GPU Drivers",385,189,369
"455",2025-01-11,"Nvidia","RTX GPUs",383,210,395
"456",2025-01-11,"Nvidia","RTX Laptops",364,176,392
"457",2025-01-11,"Tesla","Model 3",405,185,358
"458",2025-01-11,"Tesla","Model S",377,206,419
"459",2025-01-11,"Tesla","Model X",392,198,389
"460",2025-01-11,"Tesla","Model Y",369,181,381
"461",2025-01-11,"Tesla","Powerwall",370,186,385
"462",2025-01-11,"Tesla","Solar Roof",382,189,399
"463",2025-01-12,"Apple","AirPods",382,218,370
"464",2025-01-12,"Apple","App Store",367,212,380
"465",2025-01-12,"Apple","Apple Watch",374,185,393
"466",2025-01-12,"Apple","MacBook",339,197,368
"467",2025-01-12,"Apple","iPad",361,215,376
"468",2025-01-12,"Apple","iPhone",384,210,368
"469",2025-01-12,"Binance","Futures",394,210,355
"470",2025-01-12,"Binance","Margin Trading",369,201,396
"471",2025-01-12,"Binance","P2P",401,174,376
"472",2025-01-12,"Binance","Spot Exchange",392,187,380
"473",2025-01-12,"Binance","Staking",420,201,401
"474",2025-01-12,"Binance","Wallet",390,175,366
"475",2025-01-12,"Coinbase","Earn",357,208,352
"476",2025-01-12,"Coinbase","NFT Marketplace",354,193,411
"477",2025-01-12,"Coinbase","Pro",436,184,387
"478",2025-01-12,"Coinbase","Spot Trading",363,216,392
"479",2025-01-12,"Coinbase","Staking",379,201,396
"480",2025-01-12,"Coinbase","Wallet",371,201,401
"481",2025-01-12,"Meta","Facebook",411,200,397
"482",2025-01-12,"Meta","Horizon Worlds",375,171,379
"483",2025-01-12,"Meta","Instagram",397,170,339
"484",2025-01-12,"Meta","Oculus Rift",375,184,352
"485",2025-01-12,"Meta","Portal",414,196,357
"486",2025-01-12,"Meta","WhatsApp",424,191,345
"487",2025-01-12,"Nike","Air Max",407,184,401
"488",2025-01-12,"Nike","Dri-FIT Apparel",380,182,376
"489",2025-01-12,"Nike","Football Boots",382,205,361
"490",2025-01-12,"Nike","Jordan",394,176,364
"491",2025-01-12,"Nike","Nike+ App",341,192,372
"492",2025-01-12,"Nike","Running Shoes",413,196,411
"493",2025-01-12,"Nvidia","AI Chips",379,224,367
"494",2025-01-12,"Nvidia","Cloud Gaming",386,194,388
"495",2025-01-12,"Nvidia","DLSS Tech",356,205,416
"496",2025-01-12,"Nvidia","GPU Drivers",373,211,342
"497",2025-01-12,"Nvidia","RTX GPUs",368,170,388
"498",2025-01-12,"Nvidia","RTX Laptops",358,187,370
"499",2025-01-12,"Tesla","Model 3",378,188,422
"500",2025-01-12,"Tesla","Model S",387,207,397
"501",2025-01-12,"Tesla","Model X",390,196,358
